,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
1,Jeff McNeil,5,148,533,73,174,39,1,9,62,40,61,4,0,.326
2,Freddie Freeman,13,159,612,117,199,47,2,21,100,84,102,13,3,.325
3,Joey Meneses,1,56,222,33,72,14,0,13,34,15,52,1,0,.324
4,Paul Goldschmidt,12,151,561,106,178,41,0,35,115,79,141,7,0,.317
5,Luis Arraez,4,144,547,88,173,31,1,8,49,50,43,4,4,.316
6,Aaron Judge,7,157,570,133,177,28,0,62,131,111,175,16,3,.311
7,Xander Bogaerts,10,150,557,84,171,38,0,15,73,57,118,8,2,.307
8,Yordan Alvarez,4,135,470,95,144,29,2,37,97,78,106,1,1,.306
9,Jose Abreu,9,157,601,85,183,40,0,15,75,62,110,0,0,.304
 ,Andrew Benintendi,7,126,461,54,140,23,3,5,51,52,77,8,3,.304
11,Nathaniel Lowe,4,157,593,74,179,26,3,27,76,48,147,2,2,.302
12,Tim Anderson,7,79,332,50,100,13,0,6,25,14,55,13,0,.301
 ,Yonathan Daza,3,113,372,56,112,21,2,2,34,26,58,0,3,.301
14,Jose Altuve,9,141,527,103,158,39,0,28,57,66,87,18,1,.300
 ,Harold Ramirez,4,120,403,46,121,24,0,6,58,19,72,3,5,.300
16,Manny Machado,11,150,578,100,172,37,1,32,102,63,133,9,1,.298
 ,Trea Turner,8,160,652,101,194,39,4,21,100,45,131,27,3,.298
 ,Steven Kwan,1,147,563,89,168,25,7,6,52,62,60,19,5,.298
19,Andres Gimenez,3,146,491,66,146,26,3,17,69,34,112,20,3,.297
 ,Michael Harris II,1,114,414,75,123,27,3,19,64,21,107,20,2,.297
21,Yandy Diaz,6,137,473,71,140,33,0,9,57,78,60,3,3,.296
 ,Oscar Gonzalez,1,91,362,39,107,27,0,11,43,15,75,1,2,.296
23,Rafael Devers,6,141,555,84,164,42,1,27,88,50,114,3,1,.295
 ,Eloy Jimenez,4,84,292,40,86,12,0,16,54,28,72,0,0,.295
 ,Vinnie Pasquantino,0,72,258,25,76,10,0,10,26,35,34,1,0,.295
26,Nolan Arenado,7,148,557,73,163,42,1,30,103,52,72,5,3,.293
27,Jose Iglesias,11,118,439,48,128,30,0,3,47,17,56,2,3,.292
 ,Starling Marte,11,118,466,76,136,24,5,16,63,26,97,18,9,.292
29,Carlos Correa,8,136,522,70,152,24,1,22,64,61,121,0,1,.291
 ,Lourdes Gurriel Jr.,5,121,453,52,132,32,1,5,52,31,83,3,4,.291
31,Bo Bichette,4,159,652,91,189,43,1,24,93,41,155,13,8,.290
32,Michael Brantley,14,64,243,28,70,14,1,5,26,31,30,1,1,.288
33,Bryce Harper,11,99,370,63,106,28,1,18,65,46,87,11,4,.286
 ,Christian Arroyo,6,87,280,32,80,16,1,6,36,13,49,5,1,.286
35,Gio Urshela,7,144,501,61,143,27,3,13,64,41,96,1,0,.285
 ,Alejandro Kirk,3,139,470,59,134,19,0,14,63,63,58,0,0,.285
37,Donovan Solano,0,80,278,22,79,16,0,4,24,19,61,0,0,.284
 ,Luis Robert,3,98,380,54,108,18,0,12,56,17,77,11,3,.284
 ,Julio Rodriguez,1,132,511,84,145,25,3,28,75,40,145,25,7,.284
40,Mike Trout,12,119,438,85,124,28,2,40,80,54,139,1,0,.283
 ,Amed Rosario,6,153,637,86,180,26,9,11,71,25,111,18,4,.283
 ,Jake McCarthy,0,99,321,53,91,16,3,8,43,23,76,23,3,.283
43,Taylor Ward,0,135,495,73,139,22,2,23,65,60,120,5,3,.281
 ,Nico Hoerner,4,135,481,60,135,22,5,10,55,28,57,20,2,.281
 ,Brendan Donovan,0,126,391,64,110,21,1,5,45,60,70,2,3,.281
46,Jose Ramirez,10,157,601,90,168,44,5,29,126,69,82,20,7,.280
 ,Alex Verdugo,6,152,593,75,166,39,1,11,74,42,86,1,3,.280
 ,Alec Bohm,3,152,586,79,164,24,3,13,72,31,110,2,3,.280
49,Justin Turner,14,128,468,61,130,36,0,13,81,50,89,3,0,.278
 ,William Contreras,0,97,334,51,93,14,1,20,45,39,104,2,0,.278
51,Jean Segura,11,98,354,45,98,9,0,10,33,25,58,13,6,.277
 ,Dansby Swanson,7,162,640,99,177,32,1,25,96,49,182,18,7,.277
 ,Wander Franco,2,83,314,46,87,20,3,6,33,26,33,8,0,.277
54,J.T. Realmuto,9,139,504,75,139,26,5,22,84,41,119,21,1,.276
 ,Ty France,4,140,551,65,152,27,1,20,84,35,94,0,0,.276
 ,Gavin Lux,4,129,421,66,116,20,7,6,42,47,95,7,2,.276
57,Luis Garcia,3,93,360,29,99,23,2,7,45,11,84,3,4,.275
58,J.D. Martinez,12,139,533,76,146,43,1,16,62,52,145,0,0,.274
 ,Christian Vazquez,8,119,398,41,109,23,0,9,52,22,69,1,4,.274
 ,Joc Pederson,5,134,380,57,104,19,3,23,70,42,100,3,2,.274
 ,Brandon Nimmo,7,151,580,102,159,30,7,16,64,71,116,3,2,.274
 ,Manuel Margot,7,89,336,36,92,18,2,4,47,24,68,7,3,.274
 ,Vladimir Guerrero Jr.,4,160,638,90,175,35,0,32,97,58,116,8,3,.274
 ,Kevin Newman,5,78,288,31,79,18,2,2,24,16,48,8,2,.274
65,Austin Riley,4,159,615,90,168,39,2,38,93,57,168,2,0,.273
 ,Luis Guillorme,5,102,297,33,81,12,1,2,17,34,46,1,0,.273
 ,Shohei Ohtani,5,157,586,90,160,30,6,34,95,72,161,11,9,.273
68,Nick Gordon,2,136,405,45,110,28,4,9,50,19,105,6,4,.272
69,Harold Castro,5,120,420,37,114,21,2,7,47,17,79,0,1,.271
 ,Ian Happ,6,158,573,72,155,42,2,17,72,58,149,9,4,.271
 ,Pete Alonso,4,160,597,95,162,27,0,40,131,67,128,5,1,.271
 ,Andrew Vaughn,2,134,510,60,138,28,1,17,76,31,96,0,0,.271
73,Albert Pujols,22,109,307,42,83,14,0,24,68,28,55,1,2,.270
 ,Francisco Lindor,8,161,630,98,170,25,5,26,107,59,133,16,6,.270
75,Mookie Betts,9,142,572,117,154,40,3,35,82,55,104,12,2,.269
 ,Reese McGuire,5,89,249,25,67,14,1,3,22,12,56,1,0,.269
 ,Josh Rojas,4,125,443,66,119,25,1,9,56,55,98,23,3,.269
 ,Yadiel Hernandez,3,94,305,30,82,16,0,9,41,19,74,2,1,.269
79,Travis d'Arnaud,10,107,396,61,106,25,1,18,60,19,90,0,0,.268
 ,Eric Hosmer,12,104,380,38,102,19,0,8,44,37,64,0,0,.268
 ,Jose Miranda,1,125,444,45,119,25,0,15,66,28,91,1,1,.268
82,Corey Dickerson,0,97,281,28,75,17,1,6,36,12,48,0,0,.267
 ,George Springer,9,133,513,89,137,22,4,25,76,54,100,14,2,.267
 ,Teoscar Hernandez,7,131,499,71,133,35,1,25,77,34,152,6,3,.267
 ,Santiago Espinal,3,135,449,51,120,25,0,7,51,36,68,6,6,.267
86,Mark Canha,8,140,462,71,123,24,0,13,61,48,97,3,1,.266
 ,Josh Bell,7,156,552,78,147,29,3,17,71,81,102,0,1,.266
 ,Brendan Rodgers,4,137,527,72,140,30,3,13,63,46,101,0,0,.266
 ,Ronald Acuna Jr.,5,119,467,71,124,24,0,15,50,53,126,29,11,.266
90,Raimel Tapia,7,128,411,47,109,20,3,7,52,16,81,8,2,.265
 ,Tommy Edman,1,153,577,95,153,31,4,13,57,46,111,32,3,.265
92,Charlie Blackmon,12,135,530,60,140,22,6,16,78,32,109,4,1,.264
 ,Austin Slater,6,125,277,49,73,15,2,7,34,40,89,12,1,.264
 ,Luis Rengifo,4,127,489,45,129,22,4,17,52,17,79,6,2,.264
95,Nick Castellanos,7,136,524,56,138,27,0,13,62,29,130,7,1,.263
 ,Brandon Drury,8,138,518,87,136,31,2,28,87,38,126,2,3,.263
 ,Ildemaro Vargas,6,63,209,19,55,13,1,4,23,8,23,3,1,.263
 ,Randy Arozarena,4,153,586,72,154,41,3,20,89,46,156,32,12,.263
99,Bryan Reynolds,4,145,542,74,142,19,4,27,62,56,141,7,3,.262
 ,Seiya Suzuki,1,111,397,54,104,22,2,14,46,42,110,9,5,.262
101,DJ LeMahieu,12,125,467,74,122,18,0,12,46,67,71,4,3,.261
 ,Wil Myers,0,77,261,29,68,15,0,7,41,21,86,2,1,.261
 ,Garrett Cooper,6,119,414,37,108,33,2,9,50,40,119,0,0,.261
 ,Isiah Kiner-Falefa,5,142,483,66,126,20,0,4,48,35,72,22,4,.261
 ,Leody Taveras,3,99,314,39,82,14,2,5,34,21,88,11,5,.261
106,Danny Jansen,5,72,215,34,56,10,0,15,44,25,44,1,0,.260
 ,Thairo Estrada,4,140,488,71,127,23,2,14,62,33,89,21,6,.260
 ,Will Smith,4,137,508,68,132,26,3,24,87,56,96,1,0,.260
109,Randal Grichuk,9,140,506,60,131,21,3,19,73,24,127,4,0,.259
 ,Joey Wendle,4,101,347,27,90,24,1,3,32,15,50,12,3,.259
 ,Alex Bregman,7,155,548,93,142,38,0,23,93,87,77,1,2,.259
 ,Jake Fraley,4,68,216,33,56,9,0,12,28,26,54,4,1,.259
113,Cedric Mullins,5,156,608,89,157,32,4,16,64,47,126,34,10,.258
114,C.J. Cron,9,150,575,79,148,28,3,29,102,43,164,0,0,.257
 ,Gleyber Torres,5,140,526,73,135,28,1,24,76,39,129,10,5,.257
 ,Kyle Tucker,5,150,544,71,140,28,1,30,107,59,95,25,4,.257
 ,Jose Azocar,1,98,202,24,52,9,3,0,10,12,44,5,6,.257
118,Trayce Thompson,6,80,219,36,56,14,1,13,41,32,93,4,1,.256
 ,Josh Harrison,0,119,386,50,99,19,2,7,27,21,71,2,1,.256
 ,Josh Naylor,4,122,449,47,115,28,0,20,79,38,80,6,1,.256
121,Hunter Renfroe,7,125,474,62,121,23,1,29,72,39,121,1,1,.255
 ,Kyle Farmer,6,145,526,58,134,25,1,14,78,33,99,4,3,.255
 ,David Fletcher,5,61,216,20,55,9,1,2,17,7,16,1,0,.255
124,Miguel Cabrera,20,112,397,25,101,10,0,5,43,28,101,1,0,.254
 ,Salvador Perez,11,114,445,48,113,23,1,23,76,18,109,0,0,.254
 ,Michael Taylor,9,124,414,49,105,10,3,9,43,35,109,4,2,.254
 ,Eric Haase,5,110,323,41,82,17,1,14,44,24,97,0,0,.254
 ,Victor Reyes,0,92,315,27,80,19,3,3,34,13,77,2,2,.254
 ,Luis Gonzalez,3,98,311,31,79,17,2,4,36,30,75,10,2,.254
 ,Jazz Chisholm Jr.,3,60,213,39,54,10,4,14,45,21,66,12,5,.254
 ,Adley Rutschman,1,113,398,70,101,35,1,13,42,65,86,4,0,.254
 ,Bobby Witt Jr.,1,150,591,82,150,31,6,20,80,30,135,30,7,.254
133,Jeremy Pena,1,136,521,72,132,20,2,22,63,22,135,11,2,.253
 ,Riley Greene,1,93,376,46,95,18,4,5,42,36,120,1,4,.253
 ,Juan Yepez,0,76,253,27,64,13,0,12,30,16,61,0,0,.253
136,Christian Yelich,10,154,575,99,145,25,4,14,57,88,162,19,3,.252
 ,Christian Bethancourt,4,100,318,39,80,17,0,11,34,12,80,5,1,.252
 ,Bryan De La Cruz,0,115,329,38,83,20,0,13,43,19,90,4,0,.252
139,Kolten Wong,10,134,430,65,108,24,4,15,47,46,88,17,6,.251
 ,Austin Nola,4,110,347,40,87,15,0,4,40,34,60,2,1,.251
 ,David Peralta,9,134,439,39,110,30,3,12,59,41,114,1,3,.251
 ,Keibert Ruiz,3,112,394,33,99,22,0,7,36,30,50,6,1,.251
 ,Ha-Seong Kim,2,150,517,58,130,29,3,11,59,51,100,12,2,.251
144,Whit Merrifield,4,139,504,70,126,28,1,11,58,38,85,16,5,.250
 ,Matt Duffy,7,77,228,14,57,8,0,2,16,17,50,0,0,.250
 ,Sean Murphy,4,148,537,67,134,37,2,18,66,56,124,1,0,.250
 ,Ryan Mountcastle,3,145,555,62,139,28,1,22,85,43,154,4,1,.250
 ,Harrison Bader,6,86,292,38,73,10,3,5,30,15,62,17,3,.250
 ,Adolis Garcia,4,156,605,88,151,34,5,27,101,40,183,25,6,.250
 ,Austin Hays,5,145,535,66,134,35,2,16,60,34,114,2,4,.250
151,Elvis Andrus,14,149,535,66,133,32,0,17,58,39,92,18,4,.249
 ,Nick Madrigal,0,59,209,19,52,7,0,0,7,14,27,3,1,.249
 ,Jonathan India,0,103,386,48,96,16,2,10,41,31,94,3,4,.249
154,Cesar Hernandez,0,147,560,64,139,28,4,1,34,45,114,10,4,.248
 ,Marcus Semien,10,161,657,101,163,31,5,26,83,53,120,25,8,.248
 ,J.D. Davis,6,115,318,46,79,16,1,12,35,39,122,1,1,.248
 ,Jose Trevino,0,115,335,39,83,12,1,11,43,15,62,2,1,.248
 ,Ramon Urias,3,118,403,50,100,17,1,16,51,30,98,1,0,.248
159,Ozzie Albies,6,64,247,36,61,16,0,8,35,16,47,3,5,.247
160,Jorge Alfaro,7,82,256,25,63,14,0,7,40,11,98,1,0,.246
 ,Mitch Haniger,6,57,224,31,55,8,0,11,34,20,65,0,0,.246
 ,Matt Reynolds,5,92,244,31,60,10,1,3,23,26,78,5,0,.246
 ,Ryan McMahon,6,153,529,67,130,23,3,20,67,60,158,7,3,.246
 ,Rhys Hoskins,6,156,589,81,145,33,2,30,79,72,169,2,1,.246
 ,Matt Vierling,2,117,325,41,80,12,2,6,32,23,70,7,4,.246
 ,CJ Abrams,0,90,284,33,70,12,2,2,21,5,50,7,4,.246
167,AJ Pollock,11,138,489,61,120,26,1,14,56,32,98,3,1,.245
 ,Corey Seager,8,151,593,91,145,24,1,33,83,58,103,3,0,.245
 ,Chas McCormick,0,119,359,47,88,12,2,14,44,46,106,4,3,.245
 ,Brandon Marsh,2,134,424,49,104,18,4,11,52,28,158,10,4,.245
171,Evan Longoria,15,89,266,31,65,13,0,14,42,27,83,0,0,.244
